id;name;base_url;access_key;author_id;creating_post_api;read_post_api;active
1;MEDIUM;Motorway Avon;Applications Books world-class;empowering;Manager high-level Specialist;online Lanka EXE;true
2;MEDIUM;hacking tan;and;Rubber Corporate Buckinghamshire;input deposit;Global cohesive;true
3;MEDIUM;Metrics;port Checking;Card;Concrete system-worthy;payment;true
4;MEDIUM;Handmade;Nebraska Shoes Illinois;Factors Towels;pixel;Greens model;false
5;MEDIUM;Electronics Bacon Regional;Tactics e-markets;initiatives program TCP;national Iowa Kentucky;withdrawal ROI;true
6;MEDIUM;JSON COM;Drive Technician;capacitor neutral;indexing Auto;Soft transitional;false
7;MEDIUM;Industrial;withdrawal;Georgia Handmade;Awesome Developer Wisconsin;leading-edge eco-centric;false
8;MEDIUM;Reactive Kuna;Applications Movies;Officer online;global dynamic Ball;Practical Distributed Highway;true
9;MEDIUM;collaborative;GB;digital Canyon;Shoes;Sleek Corporate;false
10;MEDIUM;Wisconsin plug-and-play magnetic;Small Pines high-level;generating matrix homogeneous;violet;Legacy;false
